Speed,Pos,LSD,MSD,BSD,Time_Since_MSD
1,0.0,9999,9999,1013,1540
1,9.34208,9999,191,185,6300
1,0.0,9999,9999,9999,540
1,6.83167,9999,512,539,4240
1,7.29458,9999,561,479,6360
2,2.19583,206,9999,9999,0
1,7.29458,9999,560,482,8540
1,7.97292,9999,342,267,5900
0,7.72083,9999,9999,9999,5000
1,0.0,9999,9999,9999,260
1,6.95917,9999,623,541,14860
1,0.834167,9999,9999,9999,1380
1,2.78292,9999,9999,9999,8400
1,4.99333,436,9999,9999,0
1,0.0,9999,9999,9999,1860
1,7.93583,9999,377,262,1980
1,7.06417,9999,211,327,640
1,0.0,9999,9999,9999,60
1,8.28042,9999,9999,277,420
1,5.3375,9999,380,9999,1660
1,8.0,9999,167,276,440
1,0.0,9999,9999,9999,1160
1,8.21375,9999,485,9999,12940
1,6.87,9999,422,332,5780
1,4.36542,9999,177,269,1920
1,2.04667,9999,9999,9999,4180
1,1.56042,9999,9999,9999,2800
1,6.2475,9999,278,325,2620
1,9.34208,9999,192,184,2660
1,4.02833,9999,265,9999,12240
0,7.2475,9999,329,9999,6820
1,9.34208,9999,199,185,4760
1,0.0,9999,9999,9999,720
1,5.45458,9999,380,9999,4720
1,0.0,9999,9999,9999,440
2,0.497917,9999,958,410,1200
1,7.97292,9999,343,267,5160
1,6.75917,9999,363,9999,3020
1,0.0,9999,9999,9999,2860
1,7.97292,9999,343,267,9780
1,0.0,9999,9999,9999,760
1,7.10833,9999,441,359,2400
1,5.78458,480,9999,429,40
1,7.31208,9999,427,342,2600
1,6.95917,9999,624,541,14280
1,0.0,9999,9999,1015,800
1,4.54667,261,9999,9999,20
1,0.0,9999,9999,9999,900
0,4.82792,9999,267,9999,2900
1,2.1,9999,9999,9999,7120
1,6.24583,9999,314,9999,4580
1,6.44542,9999,315,323,1100
1,0.0,9999,9999,1012,980
1,2.37333,9999,368,378,300
1,7.29917,9999,353,277,3520
1,6.8725,9999,511,540,12800
1,0.0,9999,9999,9999,1660
1,7.29458,9999,480,9999,3980
2,0.00125,9999,9999,1015,980
1,3.37417,247,9999,508,20
1,7.29458,9999,561,481,8820
1,0.0,9999,9999,9999,380
1,6.26583,9999,325,9999,5360
1,7.29917,9999,350,260,4100
0,8.2925,9999,336,9999,1740
1,7.63375,9999,330,9999,4100
1,7.97292,9999,342,268,5280
1,8.82917,9999,177,170,2000
1,8.0,9999,290,277,260
1,4.37667,9999,9999,9999,4020
1,7.66125,9999,551,9999,7340
1,7.29417,9999,351,275,2560
1,6.97208,9999,421,339,9520
1,7.29458,9999,561,481,9260
1,6.87167,9999,423,332,7400
1,4.34417,9999,265,9999,12100
1,5.41,9999,375,320,300
1,8.97417,9999,176,170,1900
2,0.125417,9999,9999,1016,1080
1,3.81042,9999,358,9999,6240
1,6.23625,9999,325,9999,5160
1,6.95917,9999,637,532,15720
1,4.13208,9999,267,9999,3440
1,6.45917,9999,311,324,240
1,6.94917,9999,514,541,15580
1,6.67,9999,429,334,7100
1,5.44458,9999,382,9999,4040
1,6.20833,264,437,313,60
1,7.29917,9999,350,275,3220
1,7.0225,9999,303,231,5920
1,8.47417,9999,174,169,240
1,5.07417,9999,167,276,940
1,2.1,9999,9999,9999,13440
1,7.97292,9999,342,266,8920
1,0.889583,9999,9999,9999,2300
2,2.15667,415,9999,9999,20
1,6.34583,9999,274,319,3500
1,2.1,9999,9999,9999,12080
1,4.14792,9999,263,9999,9600
1,8.97417,9999,176,171,1760
1,0.0,9999,289,411,580
1,2.72917,352,613,255,60
1,7.97292,9999,342,266,10100
2,7.09833,9999,269,275,700
1,7.02292,9999,301,232,5820
1,6.68417,9999,511,538,11020
1,4.03,524,9999,9999,40
1,5.48958,9999,377,9999,4020
1,7.29917,9999,353,276,5860
1,6.57583,9999,446,362,6440
1,3.53,9999,379,268,4700
1,7.97292,9999,341,266,5280
2,3.39333,9999,9999,9999,2800
1,2.1,9999,9999,9999,5420
1,6.52667,9999,323,9999,2220
1,7.31208,9999,424,9999,3660
1,0.0,9999,9999,9999,140
1,0.0,9999,9999,9999,1100
1,6.20833,9999,262,9999,3640
2,5.45958,9999,314,238,880
1,3.51042,9999,319,268,7140
1,4.38458,295,9999,619,20
1,7.47292,9999,343,269,9420
2,5.4225,480,9999,429,0
1,0.0,9999,9999,9999,2660
1,2.08125,9999,9999,9999,2060
1,7.92458,9999,627,541,13880
1,5.44458,9999,380,9999,2740
1,7.20333,9999,323,9999,6160
1,7.655,9999,569,499,3320
1,2.54042,9999,9999,9999,3280
1,9.34208,9999,190,184,4520
1,6.0825,9999,180,211,240
1,0.0,9999,9999,9999,40
1,7.97292,9999,340,267,4300
1,7.9375,9999,480,9999,4120
1,3.30042,207,9999,509,0
1,7.08167,9999,348,278,5760
1,2.42083,9999,9999,9999,1260
1,0.0,9999,9999,9999,580
1,8.05917,9999,336,9999,420
1,8.16458,9999,264,9999,10280
1,3.51042,9999,303,268,6120
1,9.34208,9999,190,185,3360
1,7.10833,9999,444,357,3120
1,7.97292,9999,341,269,8780
1,2.78542,9999,342,9999,2100
1,2.2125,9999,9999,9999,5280
1,7.05875,9999,330,9999,1780
1,7.31208,9999,425,9999,3480
1,6.20833,9999,263,9999,5820
1,6.24583,9999,326,9999,4820
1,5.30083,219,9999,516,0
1,6.45333,9999,513,529,440
1,3.53208,9999,377,9999,3900
1,4.05625,9999,265,9999,3700
1,7.29917,9999,358,277,3200
1,6.0825,9999,321,273,3300
1,1.05917,9999,364,9999,2420
1,0.0,9999,9999,9999,300
1,8.42458,9999,334,9999,960
1,7.97292,9999,340,270,4860
1,6.54083,9999,443,363,5120
1,8.97417,9999,178,170,2360
1,3.68292,9999,337,269,5820
1,7.0225,9999,301,233,6520
1,2.1,9999,9999,9999,10180
1,3.91042,9999,9999,9999,3180
1,0.0,9999,9999,1007,1620
1,6.95792,9999,218,313,560
1,7.79458,9999,562,480,9640
1,7.0225,9999,301,231,5380
1,4.80583,218,9999,9999,0
1,6.64583,9999,264,322,300
1,5.60667,482,9999,410,20
1,0.0,9999,9999,9999,2900
1,0.0,9999,9999,9999,60
1,0.491667,9999,9999,9999,1100
2,0.0945833,9999,9999,9999,2300
1,2.1,9999,9999,9999,10780
1,0.0,9999,9999,9999,1480
1,9.34208,9999,191,184,4440
2,2.84333,9999,9999,9999,2580
2,0.045,9999,9999,9999,2060
1,1.73333,9999,513,537,780
1,9.34208,9999,192,184,4160
1,5.09417,480,9999,420,40
1,6.20625,9999,181,225,1360
1,3.13917,611,9999,9999,40
1,5.24375,216,9999,519,0
1,7.29458,9999,562,481,8340
1,2.77792,9999,9999,9999,10500
1,0.0,9999,9999,9999,2020
1,2.1,9999,9999,9999,10720
2,2.27917,9999,9999,9999,1220
1,2.62625,377,513,246,20
1,3.51042,9999,306,268,6400
1,7.87292,9999,553,9999,9540
1,6.87708,168,9999,174,20
1,2.1,9999,9999,9999,7640
1,6.33292,9999,186,215,2780
1,6.34583,9999,275,315,1980
1,7.97292,9999,341,269,7780
1,7.08167,9999,348,278,4020
1,0.0,9999,9999,9999,680
1,5.65375,348,9999,9999,20
1,3.62667,9999,342,268,5200
1,5.44458,9999,9999,9999,4260
1,7.87292,9999,341,270,4260
1,2.28792,199,9999,9999,0
1,0.0,9999,9999,1008,240
1,7.06583,9999,626,542,11960
1,9.34208,9999,196,186,2600
1,1.70792,9999,9999,9999,3500
1,3.42542,9999,301,254,5300
1,3.51208,9999,330,268,5440
1,6.64958,9999,278,210,1200
1,6.2075,255,9999,502,20
1,3.50708,9999,334,265,4480
1,4.35458,9999,269,9999,2760
1,4.49875,221,9999,9999,60
1,9.34208,9999,192,185,4920
1,4.38125,257,9999,197,40
1,2.8125,9999,343,9999,7660
1,0.0,9999,9999,9999,120
1,6.9375,9999,514,539,5540
1,6.24583,9999,324,9999,5720
1,4.74333,9999,275,9999,3340
1,0.0,9999,9999,9999,3120
1,5.14,9999,9999,9999,1360
1,6.23167,9999,429,343,2460
1,6.20833,9999,264,9999,4300
1,2.29792,9999,9999,9999,2800
1,6.53042,9999,442,365,5260
1,9.34208,9999,191,185,4820
1,6.04583,9999,325,9999,5020
2,4.61083,9999,372,9999,2060
2,0.134167,9999,9999,9999,4140
1,5.59375,9999,310,256,240
0,8.96917,9999,176,170,1780
1,5.20833,9999,266,9999,4780
1,0.0,9999,9999,9999,1980
1,0.0,9999,9999,1037,640
1,6.95917,9999,624,542,14060
1,4.02833,9999,265,9999,11940
1,0.0,9999,9999,9999,300
1,7.37208,9999,421,9999,5080
1,5.78958,281,9999,510,40
1,0.0,9999,9999,9999,920
1,4.38458,295,9999,9999,40
1,7.0225,9999,303,232,4600
1,8.97417,9999,172,170,3000
2,3.20083,9999,354,9999,2580
0,7.20375,9999,328,9999,1200
1,6.44917,9999,391,322,4300
1,7.97292,9999,340,267,5240
1,6.87292,9999,420,333,5040
1,2.88958,9999,9999,9999,5360
1,4.5075,332,9999,9999,60
1,5.77417,9999,177,269,4260
1,6.44458,9999,177,217,800
1,5.77833,9999,348,269,4740
1,5.45167,9999,309,258,740
1,0.0,9999,9999,9999,1260
1,5.02917,9999,377,9999,1480
1,0.0,9999,9999,1008,1640
1,6.24583,9999,325,9999,5640
1,2.85208,9999,196,343,400
2,7.7425,9999,510,533,7580
1,5.49417,9999,312,267,1440
1,8.82167,9999,195,276,900
1,7.08167,9999,348,278,5880
1,7.29917,9999,349,275,2280
2,1.28625,9999,425,9999,3640
0,5.27375,333,695,257,20
1,2.1,9999,9999,9999,1400
1,2.1,9999,9999,9999,8480
1,6.34208,9999,190,185,2100
2,2.96083,9999,9999,9999,5220
2,0.357917,9999,1862,9999,1100
1,6.57583,189,9999,9999,0
1,4.07125,9999,268,359,1860
1,1.49208,9999,418,9999,3440
1,2.79625,9999,9999,9999,4940
1,7.31208,9999,428,9999,1860
1,7.97292,9999,341,268,3000
1,4.07875,9999,267,9999,4020
1,7.97292,9999,344,267,2980
1,0.0,9999,9999,9999,160
1,8.14417,9999,185,275,720
1,2.51083,9999,332,9999,4160
1,8.15958,9999,265,9999,9740
1,9.34208,9999,192,184,4720
1,0.0,9999,9999,9999,340
1,1.51042,9999,9999,9999,2300
1,6.41167,9999,427,344,2060
1,7.16583,9999,633,541,8920
1,0.03,9999,9999,9999,1060
1,5.51542,9999,318,258,620
1,0.0,9999,9999,9999,1900
1,7.0,9999,290,272,6680
1,8.73042,9999,9999,278,20
1,8.59208,9999,9999,258,300
1,6.26667,9999,426,345,2240
1,6.20833,9999,264,9999,4540
1,7.97292,9999,342,268,11400
1,6.935,9999,620,9999,3240
1,1.02833,9999,9999,9999,2140
1,5.57667,9999,396,265,6200
1,6.6275,9999,327,320,5160
1,4.54625,204,9999,9999,40
1,2.7125,9999,333,9999,6320
0,3.47333,9999,9999,9999,4180
2,5.80875,547,9999,506,60
1,2.78083,9999,9999,9999,7800
1,6.95917,9999,627,542,14620
2,2.99375,252,9999,588,40
1,6.91542,9999,220,278,540
1,6.57292,9999,442,367,6080
1,0.0,9999,9999,9999,900
1,4.9575,9999,267,9999,3220
1,0.0,9999,903,1004,40
1,6.26167,9999,422,345,1700
1,2.63875,9999,336,9999,6240
1,9.34208,9999,191,184,4860
1,2.48167,9999,9999,9999,1180
1,0.0,9999,9999,9999,1640
1,0.0,9999,9999,9999,1500
1,6.56583,9999,273,348,5100
1,6.87208,9999,423,336,9600
1,0.154167,9999,9999,9999,1280
1,0.0,334,508,276,60
1,7.0225,9999,303,231,6340
1,0.0,9999,9999,1032,1240
1,7.74125,9999,357,9999,1460
1,6.8825,9999,228,275,1440
1,7.87125,9999,559,9999,7600
1,5.0,9999,9999,9999,660
1,2.23458,9999,334,9999,5320
1,3.54583,9999,9999,9999,2200
1,6.08125,291,9999,9999,20
2,3.93917,226,9999,369,20
1,2.1,9999,9999,9999,7540
1,2.05,9999,9999,9999,4440
1,6.57542,9999,444,362,5620
1,6.34583,9999,276,318,2440
1,8.21333,9999,484,9999,10820
1,8.58375,9999,353,9999,280
1,7.29458,9999,562,480,7300
1,0.0,9999,9999,9999,200
1,6.57583,9999,446,365,5200
0,7.01083,9999,620,542,10420
2,3.36792,227,9999,395,60
1,5.44458,9999,9999,9999,3500
1,6.08542,9999,182,225,380
1,6.34292,9999,325,9999,4040
1,0.0,9999,9999,9999,600
1,6.26167,9999,424,344,1180
2,2.9825,9999,9999,9999,3100
1,2.40042,9999,9999,9999,8460
1,7.06625,9999,343,9999,980
1,6.8675,9999,179,211,580
1,4.08417,9999,9999,9999,7980
1,4.94958,9999,365,9999,4100
1,2.1,9999,9999,9999,9400
1,6.25667,9999,325,327,4840
1,6.62667,9999,320,241,3300
1,7.08333,9999,349,278,3060
1,0.0,9999,9999,9999,340
2,3.99292,9999,9999,9999,2860
1,7.005,9999,345,278,2800
1,4.46583,430,9999,9999,40
1,9.34208,9999,191,185,3420
1,3.81042,9999,219,268,5780
1,3.28458,9999,9999,9999,3300
1,8.61417,9999,167,263,420
1,7.29458,9999,551,480,6000
1,6.24583,9999,325,9999,5000
1,2.1,9999,9999,9999,10520
1,7.06792,9999,523,541,8120
1,0.0,9999,9999,9999,20
1,2.79583,263,9999,514,40
1,6.23167,9999,185,225,1360
2,1.45625,588,9999,9999,0
1,7.29917,9999,349,275,1780
1,7.50875,9999,339,265,220
1,2.1,9999,9999,9999,11040
1,0.0,9999,9999,9999,1880
1,2.71208,9999,9999,9999,2400
1,8.88917,9999,167,175,1780
1,1.41083,9999,9999,9999,3260
1,0.75375,9999,9999,9999,1220
1,6.52667,9999,174,213,700
1,8.21375,9999,9999,277,320
1,4.39917,9999,9999,9999,2980
1,3.36458,9999,375,9999,4220
2,2.53667,9999,9999,9999,2140
1,6.87208,9999,423,333,8920
1,6.58417,9999,420,343,3200
1,6.28417,9999,425,345,3480
1,1.79042,9999,9999,9999,2840
1,0.0,9999,9999,9999,1360
1,0.0,9999,9999,9999,880
1,4.13667,9999,263,9999,3560
1,4.14792,9999,265,9999,9840
2,4.7,521,9999,9999,60
1,7.29458,9999,558,480,6640
1,7.08167,9999,349,278,3080
1,7.0225,9999,301,231,3260
1,2.10092,9999,9999,9999,9000
1,5.93292,9999,343,266,7640
1,0.0,9999,9999,1017,1140
1,6.89208,9999,228,275,1720
1,2.1,9999,9999,9999,11740
1,0.0,9999,9999,9999,760
1,0.0,9999,9999,9999,1100
1,3.12333,9999,9999,9999,4340
1,1.675,9999,9999,9999,1780
1,4.44333,9999,275,309,780
1,7.29917,9999,351,276,3200
2,6.42208,488,9999,429,0
1,2.84917,356,449,360,60
2,0.260417,9999,9999,9999,2120
1,0.371667,9999,9999,9999,1840
1,0.384167,337,503,208,20
2,5.01375,328,9999,267,60
1,4.9225,512,9999,9999,4440
1,0.0,334,502,279,20
1,6.24917,9999,385,9999,3840
2,0.615,9999,9999,9999,1160
1,2.61208,9999,335,9999,4060
1,4.55125,9999,374,9999,2260
1,7.29917,9999,351,277,2420
2,4.97792,226,9999,509,60
1,7.0,9999,427,478,2780
1,5.78958,9999,9999,9999,2040
1,6.45292,9999,510,529,2220
1,7.15292,9999,340,269,1500
1,6.45333,9999,513,526,1340
1,1.40083,9999,9999,9999,2440
1,2.6125,9999,337,9999,6640
1,2.5725,9999,9999,9999,5800
1,5.1,9999,9999,9999,2020
1,5.94292,585,9999,9999,40
1,6.34583,9999,318,229,40
1,0.0,9999,9999,9999,2880
1,5.44875,565,9999,517,60
1,0.0,9999,9999,9999,0
1,6.85917,557,9999,513,0
1,6.34583,9999,275,319,3100
1,7.41208,9999,332,9999,1880
1,7.87208,9999,429,9999,3460
1,6.87208,9999,422,339,7880
1,2.77583,9999,9999,9999,3580
1,4.51542,9999,9999,9999,2960
1,7.0225,9999,304,233,6980
1,8.2525,9999,9999,254,1920
1,6.52792,490,324,9999,40
2,1.20917,9999,9999,9999,4340
1,4.38458,294,9999,603,60
1,4.34583,516,9999,9999,20
1,1.12167,9999,9999,9999,3240
1,0.100833,9999,9999,9999,4300
1,0.0,333,505,276,0
1,7.97292,9999,342,269,8760
1,7.08167,9999,348,277,5880
2,0.12375,9999,9999,9999,1480
1,4.29625,9999,448,376,980
1,2.61292,9999,342,9999,4340
1,0.0,9999,9999,9999,380
1,6.95917,9999,623,542,14360
1,6.57083,9999,445,364,6600
1,5.28208,368,619,446,40
1,6.57542,9999,444,362,5620
1,5.995,9999,353,9999,2420
1,0.0,9999,9999,9999,1480
1,6.45333,9999,513,529,3220
1,6.22667,9999,310,229,1060
1,6.20833,9999,266,9999,4040
1,1.8525,9999,9999,9999,6260
1,0.0,9999,9999,9999,1840
1,4.85917,9999,367,9999,1920
1,2.1,9999,9999,9999,8720
2,0.234167,9999,9999,9999,2160
0,7.63458,9999,559,9999,8280
1,7.97292,9999,342,266,7400
1,0.0,9999,9999,9999,2660
1,0.0,9999,9999,1038,1180
1,4.85833,326,9999,9999,60
1,6.62667,9999,322,240,4400
1,7.20875,9999,350,9999,1440
1,2.8425,9999,236,276,1240
0,5.42875,9999,310,257,340
1,8.97417,9999,174,171,3280
1,0.0,9999,9999,9999,660
1,6.24583,9999,325,9999,3220
1,6.45625,497,9999,426,60
1,7.97292,9999,342,269,5400
1,0.0,9999,9999,1041,520
2,3.93958,9999,9999,9999,2280
1,6.95917,9999,514,539,12580
1,7.035,9999,420,9999,3820
1,7.34583,9999,434,475,2080
1,2.1,9999,9999,9999,12500
1,4.05792,9999,265,9999,8740
2,0.399583,9999,9999,9999,4480
1,8.21625,425,9999,283,40
1,7.29917,9999,353,277,4900
1,7.97292,9999,342,266,9000
1,6.74375,9999,511,537,1200
1,6.12583,9999,309,222,500
1,0.0,9999,9999,9999,580
1,2.71292,9999,9999,9999,1580
1,7.06583,9999,627,542,9920
1,0.0,9999,958,9999,260
1,7.97292,9999,340,268,3280
